step,x,y,z,J1,J2,J3,J4,J5,J6,J7
0.26,0.46096724690088725,0.03444344328704423,0.6409644974441371,4.972072378093802,9.104827447668793,-1.1981286209253694,-89.14527313470205,2.2123093156402924,81.94184751000265,2.6037725552273394
0.28,0.4702468040891172,0.04136979070858608,0.6291332599965145,5.839059539861156,10.68353791361684,-1.4061370620582514,-88.99549803886711,2.596785119891824,80.54287213382378,3.0558242752662084
0.3,0.47981060299260236,0.049111777758708966,0.6160557954044995,6.775436736947119,12.388536044852977,-1.630786178481766,-88.83373650533964,3.012019082245668,79.03197852233191,3.544040764994624
0.32,0.48953729612789143,0.05770569811039235,0.6016740444231179,7.781205912127289,14.219820687807983,-1.8720759701959135,-88.65998827811156,3.4580108134039165,77.40916710567721,4.068422024412585
0.34,0.4992922205217684,0.06718084039745383,0.5859301412209555,8.856350320462694,16.177390978341926,-2.1300064372006933,-88.4742531009565,3.934760311823339,75.67443823222895,4.628968053520092
0.36,0.5088026713127953,0.07741557065309371,0.5690014073000803,9.985465257958145,18.23318077488601,-2.4008796516537148,-88.27919352753753,4.435434242997574,73.85265771869054,5.2176439926256455
0.38,0.5175714048913415,0.08793747329823065,0.5516272273305476,11.118470639953227,20.295977595607265,-2.6726773480673214,-88.08346392213781,4.937822136511353,72.02464402503813,5.808334791936715
0.4,0.5255481683323271,0.09867009766926965,0.5338845226404926,12.251493672879956,22.35876528971465,-2.9444750444809533,-87.88772997350502,5.440211319055066,70.19663100550241,6.399026030196797
0.42,0.5327188205727804,0.1095707042455766,0.5157936683676075,13.384548413089094,24.42154390905011,-3.21627274089456,-87.69199153973743,5.94260193965322,68.36861984347077,6.989717268456904
0.44,0.5390716189696168,0.12059593025746206,0.4973755646745609,14.517599126909866,26.48431331866584,-3.488070437308217,-87.49624842317792,6.444994407872076,66.54061036908887,7.5804085067170375
0.46,0.5445972585291048,0.13170191720282903,0.47865161340444756,15.650662429855874,28.547073305711873,-3.759868133721849,-87.30050039614314,6.947389052123217,64.71260242837289,8.171099744977145
0.48,0.5492889042664985,0.14284444274115288,0.45964369483075995,16.78373767717151,30.609823593704263,-4.031665830135481,-87.10474722199966,7.449786151226458,62.88459586983263,8.761790983237253
0.5,0.5531422159277607,0.15397905649066973,0.44037414410900105,17.9168296848202,32.67256388225873,-4.303463526549113,-86.90898866319334,7.952185909463279,61.05659054287816,9.352482221497361
0.52,0.5561553650477297,0.16506121818482175,0.42086572708606446,19.049928121869396,34.735293854208734,-4.57526122296277,-86.71322448694214,8.454588492091942,59.228586297194326,9.943173459757494
0.54,0.5583290441956863,0.17604643770461043,0.40114161521942193,20.183036329371536,36.79801320141782,-4.8470589193763765,-86.51745446593851,8.956994007456798,57.40058297933609,10.533864698017627
0.56,0.5596664684461558,0.18689041599396178,0.3812253594455257,21.316154180769527,38.860721622749914,-5.1188566157899835,-86.32167838020375,9.459402499424435,55.57258043316725,11.124555936277735
0.58,0.5601733689611154,0.1975491865270141,0.36114086290031727,22.44928144044958,40.92341882991748,-5.390654312203666,-86.12589601725865,9.961813973788605,53.744578499643666,11.715247174537842
0.6,0.559857978637532,0.2079792567712738,0.34091235244016965,23.58243403695002,42.98610455965421,-5.662452008617298,-85.9301071713875,10.46422842883878,51.91657701795436,12.30593841279795
0.62,0.5587310099019469,0.2181377488258259,0.3205643489428885,24.71557895940634,45.048778537548856,-5.93424970503093,-85.73431164696063,10.966645719834633,50.0885758190325,12.896629651058058
0.64,0.5568056243196107,0.22798253957541878,0.3001216363952789,25.848732410925496,47.11144053613207,-6.206047401444536,-85.53850925342269,11.46906573282895,48.26057473612389,13.487320889318191
0.66,0.5540973944253146,0.23747239875401568,0.27960922978634095,26.981894154936736,49.174090337858296,-6.477845097858168,-85.34269980869043,11.971488313033651,46.432573598354885,14.078012127578324
